COURSE,SEQ,CATALOG_TITLE,INSTR_TYPE,DAYS,START_TIME,END_TIME,ROOM_CAP,NUM_REGISTERED
AERO 3002,A,Aerospace Design and Practice,LEC,TR,1005,1125,154,0
AERO 3002,A1,Aerospace Design and Practice,LAB,F,1435,1725,96,0
AERO 3002,A2,Aerospace Design and Practice,LAB,W,835,1125,84,0
AERO 3101,A,Lightweight Structures,LEC,TR,835,955,40,0
AERO 3101,A1,Lightweight Structures,TUT,W,1335,1425,36,0
AERO 3841,A,Spacecraft Design,LEC,TR,1305,1425,58,0
AERO 3841,A1,Spacecraft Design,LAB,F,835,1125,36,0
AERO 4304,A,Computational Fluid Dynamics,LEC,TR,1005,1125,66,0
AERO 4308,A,Aircraft Stability & Control,LEC,TR,1135,1255,94,0
AERO 4442,A,Transatmosp Spacecrft Propulsn,LEC,TR,1305,1425,58,0
AERO 4602,A,Introductory Aeroelasticity,LEC,MW,1435,1555,54,0
AERO 4609,A,Joining of Materials,LEC,TR,835,955,57,0
AFRI 1002,A,Intro to African Studies II,LEC,WF,1035,1125,391,0
AFRI 1002,A01,Intro to African Studies II,GRP,W,935,1025,40,0
AFRI 1002,A02,Intro to African Studies II,GRP,F,1135,1225,31,0
AFRI 1002,A03,Intro to African Studies II,GRP,W,935,1025,23,0
AFRI 1002,A04,Intro to African Studies II,GRP,F,1135,1225,23,0
AFRI 1002,A05,Intro to African Studies II,GRP,W,935,1025,31,0
AFRI 1002,A06,Intro to African Studies II,GRP,F,1135,1225,35,0
AFRI 1002,A07,Intro to African Studies II,GRP,W,935,1025,25,0
AFRI 1002,A08,Intro to African Studies II,GRP,F,1135,1225,47,0
AFRI 3001,A,Globalizatn & Pop Cltr Africa,LEC,TR,1005,1125,58,0
AFRI 3900,A,Placement,PLA,,,,,0
AFRI 4050,A,Sel Topics in African Studies,SEM,W,1435,1725,28,0
AFRI 4900,A,Tutorial in African Studies,TUT,,,,,0
ALDS 1001,B,Lang Matters: Intro. to ALDS,LEC,MW,1305,1425,96,0
ALDS 1001,PB2,Lang Matters: Intro. to ALDS,PAS,,,,,0
ALDS 2202,A,Analysis of Written Lang Use,LEC,TR,1135,1255,58,0
ALDS 2701,A,Language in Society,LEC,MW,1005,1125,63,0
ALDS 3201,A,Cross-Cultural Communication,LEC,MW,1005,1125,39,0
ALDS 3401,A,Rsrch&Theory in Academ Writing,LEC,TR,1305,1425,47,0
ALDS 3803,B,Method&Practic Langua Pedagogy,PRC,MW,1305,1425,27,0
ALDS 3900,A,Independent Study,IND,,,,,0
ALDS 3901,B,Independent Study,IND,,,,,0
ALDS 4201,A,Language Testing,LEC,W,1435,1725,40,0
ALDS 4205,A,Teach Engl Secnd Lang:Methodol,LEC,TR,935,1125,58,0
ALDS 4206,A,Practicum in Teaching ESL,PRC,M,835,1025,25,0
ALDS 4206,C,Practicum in Teaching ESL,PRC,,,,,0
ALDS 4602,A,Second Language Acquisition,LEC,TR,1605,1725,47,0
ALDS 4900,A,Independent Study,IND,,,,,0
ALDS 4901,B,Independent Study,IND,,,,,0
ALDS 4906,B,Spc Tpc:App Lang & Discrse Std,LEC,F,1135,1425,39,0
ALDS 4906,C,Spc Tpc:App Lang & Discrse Std,LEC,,,,,0
ALDS 4908,A,Hons Proj Applied Ling & Disc,HON,,,,,0
ANTH 1001,C,Introduction to Anthropology,LEC,F,1135,1325,444,0
ANTH 1001,C01,Introduction to Anthropology,GRP,F,1335,1425,54,0
ANTH 1001,C02,Introduction to Anthropology,GRP,F,1335,1425,56,0
ANTH 1001,C03,Introduction to Anthropology,GRP,F,1335,1425,58,0
ANTH 1001,C04,Introduction to Anthropology,GRP,F,1335,1425,55,0
ANTH 1001,C05,Introduction to Anthropology,GRP,F,1335,1425,67,0
ANTH 1001,C06,Introduction to Anthropology,GRP,F,1335,1425,55,0
ANTH 1001,PA2,Introduction to Anthropology,PAS,,,,,0
ANTH 1002,A,Introd. to Issues in Anthro.,LEC,W,835,1025,444,0
ANTH 1002,A01,Introd. to Issues in Anthro.,GRP,W,1035,1125,78,0
ANTH 1002,A02,Introd. to Issues in Anthro.,GRP,W,1035,1125,58,0
ANTH 1002,A03,Introd. to Issues in Anthro.,GRP,W,1035,1125,51,0
ANTH 1002,A04,Introd. to Issues in Anthro.,GRP,W,1035,1125,94,0
ANTH 1002,A05,Introd. to Issues in Anthro.,GRP,W,1335,1425,55,0
ANTH 1002,A06,Introd. to Issues in Anthro.,GRP,W,1335,1425,55,0
ANTH 1002,A07,Introd. to Issues in Anthro.,GRP,W,1335,1425,47,0
ANTH 1002,A08,Introd. to Issues in Anthro.,GRP,W,1335,1425,58,0
ANTH 1002,PA1,Introd. to Issues in Anthro.,PAS,,,,,0
ANTH 2001,A,Foundations Socio-Cultural,LEC,W,1135,1425,58,0
ANTH 2040,A,Anthropology and Gender,LEC,M,1805,2055,58,0
ANTH 2550,B,Religion and Society,LEC,T,1135,1425,96,0
ANTH 2630,A,Studies in Asian Societies,LEC,R,1135,1425,61,0
ANTH 2640,A,Andean Ethnography,LEC,F,1135,1425,61,0
ANTH 2850,A,Development & Underdevelopment,LEC,M,1135,1425,66,0
ANTH 2925,A,Course-Related Tut. in Anthro.,TUT,,,,,0
ANTH 3007,A,Hist of Anthropological Theory,LEC,M,1135,1425,47,0
ANTH 3027,B,Stud in Globalization & Human,LEC,T,1435,1725,69,0
ANTH 3215,A,Sel. Topics in Anthropology,LEC,R,1135,1425,51,0
ANTH 3355,A,Anthropology and Environment,LEC,T,835,1125,48,0
ANTH 3550,A,Studies in Visual Anthropology,LEC,W,1135,1425,48,0
ANTH 3925,A,Course-Related Tut. in Anthrop,TUT,,,,,0
ANTH 3999,A,Co-op Work Term,WRK,,,,,0
ANTH 4000,A,Field Placement in Anthro,FIE,,,,,0
ANTH 4215,A,Sel Topics in Anthropology,SEM,F,1135,1425,42,0
ANTH 4215,B,Sel Topics in Anthropology,SEM,F,835,1125,29,0
ANTH 4610,A,Adv Stud in Indigenous Peoples,SEM,M,1805,2055,15,0
ANTH 4900,A,Hon. Res. Paper in Anthro.,RES,F,1135,1425,39,0
ANTH 4900,C,Hon. Res. Paper in Anthro.,RES,,,,,0
ANTH 4925,A,Tutorial in Anthropology,TUT,,,,,0
ARAB 2110,A,Intensive Second Year Arabic,LEC,TR,835,1125,42,0
ARAB 2110,A,Intensive Second Year Arabic,LEC,W,1235,1425,42,0
ARCC 1202,A,History of Structures,LEC,R,1435,1725,133,0
ARCC 3301,A,Prac1:Hist Anlyss&Adapt Re-use,WKS,MW,1335,1725,320,0
ARCC 3301,B,Prac1:Hist Anlyss&Adapt Re-use,WKS,MW,1335,1725,320,0
ARCC 4202,A,Wood Engineering,LEC,T,835,1125,148,0
ARCC 4202,A1O,Wood Engineering,PAN,F,835,1125,54,0
ARCC 4801,A,Sel Top: Arch Tech,SEM,,,,,0
ARCC 4808,B,Independent Study,IND,,,,,0
ARCC 4909,A,Honours Project,HON,MW,1335,1725,320,0
ARCC 4909,B,Honours Project,HON,MW,1335,1725,320,0
ARCH 2101,A,Industrial Design Analysis,LEC,F,1135,1425,96,0
ARCH 4002,B,History of Cdn Architecture,LEC,W,835,1125,75,0
ARCH 4105,A,Theories of Landscape Design,LEC,M,835,1125,75,0
ARCH 4201,A,History of Modern Housing,LEC,T,835,1125,59,0
ARCH 4502,A,Research & Criticism,LEC,R,835,1125,75,0
ARCH 4801,A,Sel Top: Theory & History,SEM,,,,,0
ARCH 4808,B,Independent Study,IND,,,,,0
ARCN 2105,A,Comp Modelling & Form Analysis,LEC,T,835,1125,204,0
ARCN 2105,A1,Comp Modelling & Form Analysis,LAB,M,835,1125,30,0
ARCN 2105,A2,Comp Modelling & Form Analysis,LAB,R,1805,2055,30,0
ARCN 2105,A3,Comp Modelling & Form Analysis,LAB,R,1135,1425,30,0
ARCN 2105,A4,Comp Modelling & Form Analysis,LAB,F,835,1125,30,0
ARCN 2105,A5,Comp Modelling & Form Analysis,LAB,T,1435,1725,30,0
ARCN 3003,A,Workshop: Theatre Production,WKS,TR,1135,1425,75,0
ARCN 3999,A,Co-op Work Term,WRK,,,,,0
ARCN 4100,A,Historic Site Recording&Assess,LEC,T,1435,1725,75,0
ARCN 4100,A1,Historic Site Recording&Assess,LAB,T,935,1125,30,0
ARCN 4100,A2,Historic Site Recording&Assess,LAB,W,1135,1325,30,0
ARCN 4100,A3,Historic Site Recording&Assess,LAB,F,935,1125,30,0
ARCN 4100,A4,Historic Site Recording&Assess,LAB,R,935,1125,30,0
ARCN 4100,A5,Historic Site Recording&Assess,LAB,R,1535,1725,30,0
ARCN 4100,A6,Historic Site Recording&Assess,LAB,R,1135,1325,30,0
ARCN 4100,A7,Historic Site Recording&Assess,LAB,M,1435,1625,30,0
ARCN 4100,A8,Historic Site Recording&Assess,LAB,,,,,0
ARCN 4200,A,Buildling Pathology&Rehabilita,LEC,M,835,1125,75,0
