course,requires,optional
MATH 1104,,
MATH 1004,,
PHYS 1003,,
SYSC 1005,,
MATH 1005,MATH 1104,
PHYS 1004,MATH 1004,
ECOR 1101,MATH 1104,
ECOR 1101,MATH 1004,
SYSC 2006,SYSC 1005,
ECOR 1010,,
CHEM 1101,,
MATH 2004,,
MATH 1005,,
ELEC 2501,,
SYSC 2004,,
CCDP 2100,,
MATH 1805,SYSC 1005,
ELEC 2607,PHYS 1004,
SYSC 2003,SYSC 2001,
SYSC 2100,SYSC 2004,
SYSC 2100,SYSC 2006,
ECOR 3800,,
COMP 3005,SYSC 2004,
COMP 3005,SYSC 2100,
SYSC 4001,SYSC 2003,
SYSC 4001,SYSC 2100,
SYSC 3110,SYSC 2100,
STAT 3502,MATH 2004,
SYSC 3303,SYSC 2003,
SYSC 3303,SYSC 2004,
SYSC 3101,SYSC 2004,
SYSC 3120,SYSC 2100,
SYSC 3120,SYSC 2004,
ELEC 4705,,
SYSC 4101,SYSC 3120,
SYSC 4927,,
SYSC 4005,STAT 3502,
SYSC 4507,ELEC 2607,
SYSC 4507,SYSC 2001,
ECOR 4995,,
SYSC 4806,SYSC 4120,
